Hat Channel,Metal,"1 1/2"" 25 GA",12,53,224.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,81,988.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,18,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,11,163.349974990527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.5998774509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4499591503268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5199979195922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,A,3,2,A, ,F,I,R,S,T, ,F,L,O,O,R,
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,50,211.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,76,927.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,19,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,11,163.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6002178649238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
